game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
201010170phi,6,Sun,2010-10-17,PHI,ATL,31,17,474,1,293,2,TRUE,1,FALSE,PHI,-1.5,43,Lincoln Financial Field,FALSE,66,1,45,NA
201010170den,6,Sun,2010-10-17,NYJ,DEN,24,20,319,3,346,2,FALSE,-1,FALSE,NYJ,-3.5,43,Sports Authority Field at Mile High,FALSE,73,4,13,NA
201010240car,7,Sun,2010-10-24,CAR,SF,23,20,379,3,282,1,TRUE,-2,FALSE,SF,-2.5,35.5,Bank of America Stadium,FALSE,75,9,57,NA
201010240lac,7,Sun,2010-10-24,NE,LAC,23,20,179,0,363,4,FALSE,4,FALSE,LAC,-1.5,49.5,Qualcomm Stadium,FALSE,69,7,68,NA
201010240chi,7,Sun,2010-10-24,WAS,CHI,17,14,308,3,322,6,FALSE,3,FALSE,CHI,-3,40,Soldier Field,FALSE,67,1,65,NA
201010240gb,7,Sun,2010-10-24,GB,MIN,28,24,379,2,402,3,TRUE,1,FALSE,GB,-2.5,44.5,Lambeau Field,FALSE,59,4,96,fog
201010310kc,8,Sun,2010-10-31,KC,BUF,13,10,414,0,328,1,TRUE,1,FALSE,KC,-7,46,Arrowhead Stadium,FALSE,51,1,60,NA
201010310no,8,Sun,2010-10-31,NO,PIT,20,10,318,2,279,2,TRUE,0,FALSE,NO,-1,45.5,Louisiana Superdome,FALSE,72,0,NA,indoor
201010310lar,8,Sun,2010-10-31,LAR,CAR,20,10,246,0,201,4,TRUE,4,FALSE,LAR,-2.5,37,Edward Jones Dome,FALSE,72,0,NA,indoor
201011070min,9,Sun,2010-11-07,MIN,ARI,27,24,507,3,225,1,TRUE,-2,FALSE,MIN,-7.5,42.5,Mall of America Field,FALSE,72,0,NA,indoor
201011070det,9,Sun,2010-11-07,NYJ,DET,23,20,437,2,306,0,FALSE,-2,FALSE,NYJ,-5.5,42,Ford Field,FALSE,72,0,NA,indoor
201011070lvr,9,Sun,2010-11-07,LVR,KC,23,20,321,3,304,2,TRUE,-1,FALSE,PICK,0,41,Oakland Coliseum,FALSE,63,9,82,rain | fog
201011070atl,9,Sun,2010-11-07,ATL,TB,27,21,365,0,278,2,TRUE,2,FALSE,ATL,-9,45.5,Georgia Dome,FALSE,72,0,NA,indoor
201011080cin,9,Mon,2010-11-08,PIT,CIN,27,21,314,2,272,2,FALSE,0,FALSE,PIT,-5.5,41.5,Paul Brown Stadium,FALSE,46,2,65,NA
201011140sf,10,Sun,2010-11-14,SF,LAR,23,20,421,0,332,0,TRUE,0,FALSE,SF,-4.5,39,Candlestick Park,FALSE,74,5,50,NA
201011140ind,10,Sun,2010-11-14,IND,CIN,23,17,256,0,341,5,TRUE,5,FALSE,IND,-7,47,Lucas Oil Stadium,FALSE,72,0,NA,indoor
201011140jax,10,Sun,2010-11-14,JAX,HOU,31,24,491,0,395,1,TRUE,1,FALSE,PICK,0,48.5,EverBank Field,FALSE,70,5,50,NA
201011140chi,10,Sun,2010-11-14,CHI,MIN,27,13,360,2,240,4,TRUE,2,FALSE,MIN,-1,41.5,Soldier Field,FALSE,44,2,57,NA
201011210jax,11,Sun,2010-11-21,JAX,CLE,24,20,371,6,283,1,TRUE,-5,FALSE,JAX,-2.5,43,EverBank Field,FALSE,76,8,47,NA
201011210phi,11,Sun,2010-11-21,PHI,NYG,27,17,392,2,208,5,TRUE,3,FALSE,PHI,-3.5,48,Lincoln Financial Field,FALSE,45,7,68,NA
201011210nyj,11,Sun,2010-11-21,NYJ,HOU,30,27,401,2,343,1,TRUE,-1,FALSE,NYJ,-6.5,46,MetLife Stadium,FALSE,46,1,37,NA
201011210ne,11,Sun,2010-11-21,NE,IND,31,28,346,0,467,3,TRUE,3,FALSE,NE,-4.5,50,Gillette Stadium,FALSE,37,6,NA,NA
201011250dal,12,Thu,2010-11-25,NO,DAL,30,27,414,2,457,3,FALSE,1,FALSE,NO,-4.5,49,Cowboys Stadium,FALSE,72,0,NA,indoor
201011280atl,12,Sun,2010-11-28,ATL,GB,20,17,294,0,418,1,TRUE,1,FALSE,ATL,-2,48,Georgia Dome,FALSE,72,0,NA,indoor
201011280bal,12,Sun,2010-11-28,BAL,TB,17,10,349,1,263,0,TRUE,-1,FALSE,BAL,-7.5,41.5,M&T Bank Stadium,FALSE,52,3,37,NA
201011280was,12,Sun,2010-11-28,MIN,WAS,17,13,299,0,216,1,FALSE,1,FALSE,MIN,-2.5,44,FedEx Field,FALSE,47,5,44,NA
201011280nyg,12,Sun,2010-11-28,NYG,JAX,24,20,361,0,328,2,TRUE,2,FALSE,NYG,-7.5,44,MetLife Stadium,FALSE,43,6,43,NA
